------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Name                            Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     Number of Calls  Input Shapes                         
------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
random_                         0.21%            20.336us         0.21%            20.336us         20.336us         1                []                                   
is_floating_point               0.01%            0.618us          0.01%            0.618us          0.618us          1                []                                   
is_complex                      0.00%            0.435us          0.00%            0.435us          0.435us          1                []                                   
item                            0.35%            34.908us         0.35%            34.908us         34.908us         1                []                                   
_local_scalar_dense             0.09%            8.635us          0.09%            8.635us          8.635us          1                []                                   
random_                         0.06%            6.156us          0.06%            6.156us          6.156us          1                []                                   
is_floating_point               0.00%            0.136us          0.00%            0.136us          0.136us          1                []                                   
is_complex                      0.00%            0.205us          0.00%            0.205us          0.205us          1                []                                   
item                            0.02%            1.693us          0.02%            1.693us          1.693us          1                []                                   
_local_scalar_dense             0.01%            0.931us          0.01%            0.931us          0.931us          1                []                                   
add                             0.77%            76.310us         0.77%            76.310us         76.310us         1                []                                   
add                             0.07%            7.156us          0.07%            7.156us          7.156us          1                []                                   
full                            0.21%            20.799us         0.21%            20.799us         20.799us         1                []                                   
empty                           0.02%            2.160us          0.02%            2.160us          2.160us          1                []                                   
fill_                           0.07%            6.498us          0.07%            6.498us          6.498us          1                []                                   
add                             0.26%            25.415us         0.26%            25.415us         25.415us         1                []                                   
add                             0.04%            4.140us          0.04%            4.140us          4.140us          1                []                                   
full                            0.03%            3.274us          0.03%            3.274us          3.274us          1                []                                   
empty                           0.01%            1.052us          0.01%            1.052us          1.052us          1                []                                   
fill_                           0.01%            1.155us          0.01%            1.155us          1.155us          1                []                                   
add                             0.24%            23.787us         0.24%            23.787us         23.787us         1                []                                   
add                             0.04%            4.108us          0.04%            4.108us          4.108us          1                []                                   
full                            0.03%            2.626us          0.03%            2.626us          2.626us          1                []                                   
empty                           0.01%            0.854us          0.01%            0.854us          0.854us          1                []                                   
fill_                           0.01%            0.979us          0.01%            0.979us          0.979us          1                []                                   
add                             0.23%            22.980us         0.23%            22.980us         22.980us         1                []                                   
add                             0.04%            4.090us          0.04%            4.090us          4.090us          1                []                                   
full                            0.03%            2.480us          0.03%            2.480us          2.480us          1                []                                   
empty                           0.01%            0.834us          0.01%            0.834us          0.834us          1                []                                   
fill_                           0.01%            0.932us          0.01%            0.932us          0.932us          1                []                                   
add                             0.23%            22.604us         0.23%            22.604us         22.604us         1                []                                   
add                             0.06%            5.541us          0.06%            5.541us          5.541us          1                []                                   
full                            0.03%            2.528us          0.03%            2.528us          2.528us          1                []                                   
empty                           0.01%            0.844us          0.01%            0.844us          0.844us          1                []                                   
fill_                           0.01%            0.948us          0.01%            0.948us          0.948us          1                []                                   
cat                             1.76%            173.959us        1.76%            173.959us        173.959us        1                []                                   
cat                             0.12%            11.982us         0.12%            11.982us         11.982us         1                []                                   
cat                             0.05%            5.070us          0.05%            5.070us          5.070us          1                []                                   
to                              0.01%            1.364us          0.01%            1.364us          1.364us          1                []                                   
to                              0.00%            0.238us          0.00%            0.238us          0.238us          1                []                                   
to                              0.00%            0.243us          0.00%            0.243us          0.243us          1                []                                   
select                          0.15%            14.398us         0.15%            14.398us         14.398us         1                []                                   
select                          0.01%            1.046us          0.01%            1.046us          1.046us          1                []                                   
